Id,Name,hed__Start_Date__c,hed__End_Date__c
a0P8c00000DpdYwEAJ,TRANSF,,
a0PON00000Cu1Tx2AJ,A2030,2030-09-01,2030-12-31
a0PON000003ePcH2AU,2030-31,2030-09-01,2031-08-31
a0PON000003eFcw2AE,2029-30,2029-09-01,2030-08-31
a0PON00000Cu1FR2AZ,A2029,2029-09-01,2029-12-31
a0PON00000CtycX2AR,2028-29,2028-09-01,2029-08-31
a0PON00000Cu0zJ2AR,A2028,2028-09-01,2028-12-31
a0PON00000Cu0T42AJ,A2027,2027-09-01,2027-12-31
a0PON00000Ctwdy2AB,2027-28,2027-09-01,2028-08-31
a0PON00000CtyPd2AJ,2026-27,2026-09-01,2027-08-31
a0PON00000Ctthj2AB,A2026,2026-09-01,2026-12-31
a0PON00000Cu2JZ2AZ,H2026,2026-01-01,2026-04-30
a0PON00000CtlvU2AR,A2025,2025-09-01,2024-12-31
a0PON000003eIm62AE,2025-26,2025-09-01,2026-08-31
a0PON000003eK1W2AU,P2025,2025-05-01,2024-08-31
a0PON000003eEtr2AE,H2025,2025-01-01,2025-04-30
a0PON000003eQ5J2AU,A2024,2024-09-01,2024-12-31
a0PON000003eHri2AE,2024-25,2024-09-01,2025-08-31
a0PON000003eN102AE,P2024,2024-05-01,2024-08-31
a0P8c00000GBLM2EAP,H2024,2024-01-01,2024-04-30
a0P8c00000H4euKEAR,2023-24,2023-09-01,2024-08-31
a0P8c00000H4etqEAB,A2023,2023-09-01,2023-12-31
a0P8c00000DpWtMEAV,P2023,2023-05-01,2023-08-31
a0P8c00000DpWtHEAV,H2023,2023-01-01,2023-04-30
a0P8c00000DpWtDEAV,A2022,2022-09-01,2022-12-31
a0P8c00000DpWtCEAV,2022-23,2022-09-01,2023-08-31
a0P8c00000DpWt7EAF,P2022,2022-05-01,2022-08-31
a0P8c00000DpWsyEAF,H2022,2022-01-01,2022-04-30
a0P8c00000DoDzcEAF,2021-22,2021-09-01,2022-08-31
a0P8c00000DpWsxEAF,A2021,2021-09-01,2021-12-31
a0P8c00000DpWssEAF,P2021,2021-05-01,2022-08-31
a0P8c00000DpWsnEAF,H2021,2021-01-01,2021-04-30
a0P8c00000DoDzbEAF,2020-21,2020-09-01,2021-08-31
a0P8c00000DpbPBEAZ,H2020,2020-09-01,2020-12-01
a0P8c00000DpWsiEAF,A2020,2020-09-01,2020-12-31
a0P8c00000DoDzaEAF,2019-20,2019-09-01,2020-08-31
a0P8c00000DoDzZEAV,2018-19,2018-09-01,2019-08-31
a0P8c00000DoDzYEAV,2017-18,2017-09-01,2018-08-31
a0P8c00000DoDzXEAV,2016-17,2016-09-01,2017-08-31
a0P8c00000DoDzWEAV,2015-16,2015-09-01,2016-08-31
a0P8c00000DoDzVEAV,2014-15,2014-09-01,2015-08-31
a0P8c00000DoDzUEAV,2013-14,2013-09-01,2014-08-31
a0P8c00000DoDzTEAV,2012-13,2012-09-01,2013-08-31
a0P8c00000DoDzSEAV,2011-12,2011-09-01,2012-08-31
a0P8c00000DoDzREAV,2010-11,2010-09-01,2011-08-31
a0P8c00000DoDzQEAV,2009-10,2009-09-01,2010-08-31
a0P8c00000DoDzPEAV,2008-09,2008-09-01,2009-08-31
a0P8c00000DoDzOEAV,2007-08,2007-09-01,2008-08-31
a0P8c00000DoDzNEAV,2006-07,2006-09-01,2007-08-31
a0P8c00000DoDzMEAV,2005-06,2005-09-01,2006-08-31
a0P8c00000DoDzLEAV,2004-05,2004-09-01,2005-08-31
a0P8c00000DoDzKEAV,2003-04,2003-09-01,2004-08-31
a0P8c00000DoDzJEAV,2002-03,2002-09-01,2003-08-31
a0P8c00000DoDzIEAV,2001-02,2001-09-01,2002-08-31
a0P8c00000DoDzHEAV,2000-01,2000-09-01,2001-08-31
a0P8c00000DoDzGEAV,1999-00,1999-09-01,2000-08-31
a0P8c00000DoDzFEAV,1998-99,1998-09-01,1999-08-31
a0P8c00000DoDzEEAV,1997-98,1997-09-01,1998-08-31
a0P8c00000DoDzDEAV,1996-97,1996-09-01,1997-08-31
a0P8c00000DoDzCEAV,1995-96,1995-09-01,1996-08-31
a0P8c00000DoDzBEAV,1994-95,1994-09-01,1995-08-31
a0P8c00000DoDzAEAV,1993-94,1993-09-01,1994-08-31
a0P8c00000DoDz9EAF,1992-93,1992-09-01,1993-08-31
a0P8c00000DoDz8EAF,1991-92,1990-09-01,1992-08-31
a0P8c00000DoDz7EAF,1990-91,1990-09-01,1991-08-31
a0P8c00000DoDz6EAF,1989-90,1989-09-01,1990-08-31
a0P8c00000DoDz5EAF,1988-89,1988-09-01,1989-08-31
a0P8c00000DoDz4EAF,1987-88,1987-09-01,1988-08-31
a0P8c00000DoDz3EAF,1986-87,1986-09-01,1987-08-31
a0P8c00000DoDz2EAF,1985-86,1985-09-01,1986-08-31
a0P8c00000DoDz1EAF,1984-85,1984-09-01,1985-08-31
a0P8c00000DoDz0EAF,1983-84,1983-09-01,1984-08-31
a0P8c00000DoDyzEAF,1982-83,1982-09-01,1983-08-31
a0P8c00000DoDyyEAF,1981-82,1981-09-01,1982-08-31
a0P8c00000DoDyxEAF,1980-81,1980-09-01,1981-08-31
a0P8c00000DoDywEAF,1979-80,1979-09-01,1980-08-31
a0P8c00000DoDyvEAF,1978-79,1978-09-01,1979-08-31
a0P8c00000DoDyuEAF,1977-78,1977-09-01,1978-08-31
a0P8c00000DoDytEAF,1976-77,1976-09-01,1977-08-31
a0P8c00000DoDysEAF,1975-76,1975-09-01,1976-08-31
a0P8c00000DoDyrEAF,1974-75,1974-09-01,1975-08-31
a0P8c00000DoDyqEAF,1973-74,1973-09-01,1974-08-31
